English,French,German,Spanish,Italian,Russian
used,utilisé,benutzt,usado,Usato,использовал
idea,idée,Idee,idea,idea,идея
knew,a connu,wusste,supo,conosceva,знал
hold,tenir,halt,sostener,hold,держать
happy,heureux,glücklich,contento,contento,счастливый
door,porte,Tür,puerta,porta,дверь
such,tel,eine solche,semejante,come,такой
fuck,Merde,Scheiße,Mierda,Fanculo,Блядь
brother,frère,Bruder,hermano,fratello,брат
also,également,ebenfalls,además,anche,также
pretty,jolie,ziemlich,bonita,bella,симпатичный
bit,bit,bisschen,un poco,po,кусочек
took,pris,dauerte,cogí,ha preso,взял
haven,havre,Oase,refugio,porto,убежище
yet,encore,noch,todavía,ancora,пока что
men,Hommes,Männer,hombres,uomini,люди
whole,ensemble,ganze,todo,totale,весь
start,début,Start,comienzo,inizio,Начните
use,utilisation,benutzen,usar,uso,использовать
while,tandis que,während,mientras,mentre,пока
since,puisque,schon seit,ya que,da,поскольку
wife,épouse,Ehefrau,esposa,moglie,жена
days,jours,Tage,dias,giorni,дней
guess,deviner,vermuten,adivinar,indovina,Угадай
tomorrow,demain,Morgen,mañana,Domani,завтра
matter,matière,Angelegenheit,importar,importa,иметь значение
meet,rencontrer,Treffen,encontrarse,incontrare,встретить
bring,apporter,bringen,traer,portare,приносить
tonight,ce soir,heute Abend,esta noche,stasera,сегодня вечером
everyone,tout le monde,jedermann,todos,tutti,каждый
run,Cours,Lauf,correr,correre,пробег
wanna,voulez,wollen,querer,voglio,хочу
hard,difficile,hart,difícil,difficile,жесткий
ah,ah,Ah,ah,ah,ах
alone,en solo,allein,solo,solo,один
myself,moi même,mich selber,yo mismo,me stessa,себя
school,l'école,Schule,colegio,scuola,школа
gone,disparu,Weg,desaparecido,andato,ушел
um,um,Äh,um,um,гм
end,finir,Ende,fin,fine,конец
saying,en disant,Sprichwort,dicho,detto,поговорка
phone,téléphone,Telefon,teléfono,Telefono,Телефон
play,jouer,abspielen,tocar,giocare,играть в
looks,regards,sieht aus,aspecto,sembra,выглядит
couldn,couldn,couldn,couldn,couldn,не мог
fucking,putain de,Ficken,maldito,cazzo,чертов
problem,problème,Problem,problema,problema,проблема
few,quelque,wenige,pocos,pochi,несколько
friends,copains,Freunde,amigos,amici,друзья
gotta,dois,muss,tengo que,devo,должен
ago,depuis,vor,atrás,fa,назад
open,ouvert,öffnen,abierto,Aperto,открыто
anyone,personne,jemand,alguien,chiunque,кто угодно
killed,tué,getötet,delicado,ucciso,убитый
hope,espérer,hoffen,esperanza,speranza,надеяться
face,visage,Gesicht,rostro,viso,лицо
until,jusqu'à,bis,hasta,fino a,до того как
lost,perdu,hat verloren,perdió,perso,потерял
police,police,Polizei,policía,Polizia Stradale,полиция
excuse,excuse,Ausrede,excusa,scusa,извинение
turn,tourner,Wende,vuelta,girare,повернуть
business,Entreprise,Geschäft,negocio,attività commerciale,бизнес
case,Cas,Fall,caso,Astuccio,дело
wants,veut,will,quiere,vuole,желания
says,dit,sagt,dice,dice,говорит
TRUE,VRAI,WAHR,CIERTO,VERO,ИСТИННЫЙ
die,mourir,sterben,morir,morire,умереть
heart,cœur,Herz,corazón,cuore,сердце
soon,bientôt,bald,pronto,presto,скоро
each,chaque,jeder,cada,ogni,каждый
worry,s'inquiéter,Sorge,preocuparse,preoccupazione,волноваться
later,plus tard,später,más tarde,dopo,потом
year,an,Jahr,año,anno,год
watch,Regardez,sehen,reloj,orologio,смотреть
music,musique,Musik-,música,musica,Музыка
hand,main,Hand,mano,mano,рука
having,ayant,mit,teniendo,avendo,имеющий
probably,Probablement,wahrscheinlich,probablemente,probabilmente,наверное
beautiful,magnifique,schön,hermosa,bellissimo,красивая
doctor,médecin,Arzt,doctor,medico,врач
sit,s'asseoir,sitzen,sentarse,sedersi,сидеть
eat,manger,Essen,comer,mangiare,есть
thinking,pensée,Denken,pensando,pensiero,мышление
young,Jeune,jung,joven,giovane,молодой
second,deuxième,zweite,segundo,secondo,второй
working,travail,Arbeiten,trabajando,Lavorando,работающий
water,l'eau,Wasser,agua,acqua,воды
person,la personne,Person,persona,persona,человек
part,partie,Teil,parte,parte,часть
kids,enfants,Kinder,niños,bambini,Дети
late,tard,spät,tarde,in ritardo,поздно
stuff,des trucs,Zeug,cosas,cose,вещи
exactly,exactement,genau,exactamente,Esattamente,точно
under,sous,unter,debajo,sotto,под
death,mort,Tod,muerte,Morte,смерть
minute,minute,Minute,minuto,minuto,минут
pay,Payer,Zahlen,pagar,pagare,платить
crazy,fou,verrückt,loca,pazzo,псих
forget,Oubliez,vergessen,olvidar,dimenticare,забывать
everybody,Tout le monde,jeder,todos,tutti,все
kid,enfant,Kind,niño,ragazzo,дитя
change,changement,Veränderung,cambio,modificare,изменять
gave,donné,gab,dio,ha dato,дал
happen,se produire,geschehen,ocurrir,accadere,случаться
damn,mince,Verdammt,maldita sea,Dannazione,проклятие
five,cinq,fünf,cinco,cinque,пять
drink,boire,trinken,bebida,bevanda,напиток
far,loin,weit,lejos,lontano,далеко
knows,sait,weiß,sabe,conosce,знает
its,son,es ist,su,suo,это
whatever,peu importe,was auch immer,lo que,che cosa mai,что бы ни
eyes,les yeux,Augen,ojos,occhi,глаза
shut,fermer,geschlossen,cerrar,chiuso,закрыть
aren,aren,aren,aren,aren,Арен
hit,frapper,schlagen,pegar,colpire,ударить
taking,prise,Mitnahmen,tomando,assunzione,принятие
easy,facile,einfach,fácil,facile,легко
times,fois,mal,veces,volte,раз
check,Chèque,prüfen,controlar,dai un'occhiata,проверить
hands,mains,Hände,las manos,mani,Руки
minutes,minutes,Protokoll,minutos,minuti,минут
deal,accord,Deal,negocio,affare,иметь дело
different,différent,anders,diferente,diverso,разные
means,moyens,meint,medio,si intende,средства
point,point,Punkt,punto,punto,точка
inside,à l'intérieur,Innerhalb,dentro,dentro,внутри
makes,fait du,macht,hace,fa,марки
asked,a demandé,fragte,preguntó,chiesto,спросил
somebody,quelqu'un,jemanden,alguien,qualcuno,кто-нибудь
mine,Mien,Bergwerk,mía,il mio,мой
making,fabrication,Herstellung,haciendo,fabbricazione,изготовление
body,corps,Körper,cuerpo,corpo,тело
afraid,effrayé,ängstlich,temeroso,impaurito,боюсь
sleep,dormir,Schlaf,dormir,dormire,спать
chance,chance,Chance,oportunidad,opportunità,шанс
dear,chère,sehr geehrter,Estimado,caro,Уважаемый
quite,assez,ganz,bastante,abbastanza,довольно
four,quatre,vier,cuatro,quattro,четыре
anyway,De toute façon,wie auch immer,de todas formas,Comunque,так или иначе
close,Fermer,schließen,cerrar,vicino,Закрыть
ain,ain,ain,ain,ain,айн
party,faire la fête,Party,partido,festa,партия
fun,amusement,Spaß,divertido,divertimento,весело
against,contre,gegen,contra,contro,против
word,mot,Wort,palabra,parola,слово
comes,vient,kommt,llega,viene,выходит
important,important,wichtig,importante,importante,важный
set,ensemble,einstellen,colocar,impostato,набор
shall,doit,soll,deberá,deve,должен
story,histoire,Geschichte,historia,storia,история
number,numéro,Nummer,número,numero,номер
daughter,la fille,Tochter,hija,figlia,дочь
least,moins,am wenigsten,menos,meno,наименее
waiting,attendre,warten,espera,in attesa,ожидающий
hurt,faire mal,verletzt,lastimar,male,повредить
wish,souhaiter,Wunsch,deseo,desiderio,желание
moment,moment,Moment,momento,momento,момент
fight,bats toi,kämpfen,lucha,combattimento,Борьба
week,semaine,Woche,semana,settimana,неделю
husband,mari,Mann,marido,marito,муж
girls,filles,Mädchen,muchachas,ragazze,девушки
rest,du repos,sich ausruhen,descanso,riposo,отдых
married,marié,verheiratet,casado,sposato,состоите в браке
fire,Feu,Feuer,fuego,fuoco,Огонь
game,Jeu,Spiel,juego,gioco,игра
nobody,personne,niemand,nadie,nessuno,никто
mr,m,Herr,señor,Sig,Мистер
children,enfants,Kinder,niños,bambini,дети
side,côté,Seite,lado,lato,сторона
stand,supporter,Stand,estar,In piedi,стоять
read,lire,lesen,leer,leggere,читать
though,bien que,obwohl,aunque,anche se,хотя
cut,Couper,Schnitt,Corte,taglio,резать
started,a débuté,gestartet,empezado,iniziato,началось
sister,sœur,Schwester,hermana,sorella,сестра
supposed,supposé,soll,supuesto,ipotetico,предполагаемый
between,compris entre,zwischen,Entre,fra,между
child,enfant,Kind,niño,bambino,ребенок
goes,se rend,geht,va,va,идет
hours,les heures,Std,horas,ore,часы
speak,parler,sprechen,hablar,parlare,разговаривать
women,femmes,Frauen,mujeres,donne,женщины
behind,derrière,hinter,detrás,dietro a,позади
almost,presque,fast,casi,quasi,почти
truth,vérité,Wahrheit,verdad,verità,правда
blood,du sang,Blut,sangre,sangue,кровь
able,pouvoir,imstande,capaz,capace,способный
lady,la demoiselle,Dame,dama,signora,леди
anymore,plus,nicht mehr,nunca más,più,больше
playing,en jouant,Spiel,jugando,giocando,игры
gets,obtient,wird,obtiene,prende,получает
shot,coup,Schuss,Disparo,tiro,выстрелил
reason,raison,Grund,razón,Motivo,причина
trouble,difficulté,Ärger,problema,guaio,беда
break,Pause,brechen,descanso,rompere,перемена
war,guerre,Krieg,guerra,guerra,война
city,ville,Stadt,ciudad,città,город
walk,marcher,gehen,caminar,camminare,ходить
town,ville,"Stadt, Dorf",pueblo,cittadina,городок
trust,confiance,Vertrauen,confianza,fiducia,доверять
dr.,dr.,DR.,Dr.,dr.,др.
met,rencontré,getroffen,reunió,incontrato,встретились
office,Bureau,Büro,oficina,ufficio,офис
question,question,Frage,pregunta,domanda,вопрос
brought,amené,gebracht,trajo,portato,привел
yours,le tiens,deine,tuya,il tuo,ваш
welcome,Bienvenue,herzlich willkommen,bienvenida,benvenuto,Добро пожаловать
high,haut,hoch,alto,alto,высоко
wow,Wow,Beeindruckend,Guau,Wow,Вау
couple,coupler,Paar,Pareja,coppia,пара
half,demi,Hälfte,mitad,metà,половина
died,décédés,ist gestorben,fallecido,morto,умер
cool,frais,cool,frio,freddo,прохладно
free,gratuit,frei,libre,gratuito,свободный
either,Soit,entweder,cualquiera,o,либо
seems,semble,scheint,parece,sembra,кажется
power,Puissance,Leistung,poder,energia,мощность
whoa,holà,whoa,whoa,whoa,тпру
bye,au revoir,Tschüss,adiós,addio,до свидания
buy,acheter,Kaufen,comprar,acquistare,купить
telling,récit,telling,narración,telling,красноречивым
honey,chéri,Honig,cariño,miele,медовый
tried,a essayé,versucht,intentado,provato,пытался
front,de face,Vorderseite,parte delantera,davanti,передний
team,équipe,Mannschaft,equipo,squadra,команда
answer,répondre,Antworten,responder,risposta,отвечать
gun,arme à feu,Gewehr,pistola,pistola,пистолет
boys,garçons,Jungs,Niños,ragazzi,мальчиков
line,ligne,Linie,línea,linea,линия
send,envoyer,senden,enviar,Spedire,Отправить
news,nouvelles,Nachrichten,noticias,notizia,Новости
stupid,stupide,blöd,estúpido,stupido,глупый
bed,lit,Bett,cama,letto,кровать
hurry,dépêche toi,Eile,apurarse,fretta,торопиться
full,complet,voll,lleno,pieno,полный
months,mois,Monate,meses,mesi,месяцы
save,sauvegarder,speichern,salvar,Salva,спасти
sometimes,quelquefois,manchmal,algunas veces,a volte,иногда
become,devenir,werden,volverse,diventare,становиться
along,le long de,entlang,a lo largo de,lungo,вдоль
hate,détester,Hass,odio,odiare,ненавидеть
food,aliments,Lebensmittel,comida,cibo,еда
outside,à l'extérieur,draußen,afuera,al di fuori,за пределами
light,lumière,Licht,ligero,luce,свет
l,l,l,l,l,L
needs,Besoins,Bedürfnisse,necesidades,esigenze,потребности
dog,chien,Hund,perro,cane,собака
country,de campagne,Land,país,nazione,страна
clear,dégager,klar,claro,chiaro,Чисто
order,ordre,bestellen,orden,ordine,порядок
em,em,em,em,em,Эм
fact,fait,Tatsache,hecho,fatto,факт
lord,Seigneur,Herr,señor,signore,господин
captain,capitaine,Kapitän,capitán,Capitano,капитан
six,six,sechs,seis,sei,шесть
hot,chaud,heiß,caliente,caldo,горячей
funny,drôle,komisch,divertido,divertente,забавный
black,noir,schwarz,negro,nero,чернить
mrs.,Mme.,Frau.,señora.,Sig.ra.,Г-жа.
alive,vivant,am Leben,viva,vivo,живой
pick,prendre,pflücken,elegir,raccogliere,выбирать
feeling,sentiment,Gefühl,sentimiento,sensazione,чувство
living,vie,Leben,viviendo,vita,жизнь
cause,cause,Ursache,causa,causa,причина
ahead,devant,voraus,adelante,avanti,предстоящий
lose,perdre,verlieren,perder,perdere,терять
king,roi,König,Rey,re,король
plan,plan,planen,plan,Piano,строить планы
dinner,dîner,Abendessen,cena,cena,ужин
sighs,soupirs,Seufzer,suspiros,sospiri,вздохи
sort,Trier,Sortieren,clasificar,ordinare,Сортировать
leaving,en quittant,Verlassen,dejando,in partenza,уход
shouldn,shouldn,shouldn,shouldn,shouldn,не должен
running,fonctionnement,Laufen,corriendo,in esecuzione,Бег
boss,patron,Boss,patrón,capo,босс
alright,bien,in Ordung,está bien,Tutto a posto,хорошо
promise,promesse,versprechen,promesa,promettere,обещать
taken,pris,genommen,tomado,prese,взятый
safe,en sécurité,sicher,a salvo,sicuro,безопасный
ma,mère,ma,mamá,mamma,мама
book,livre,Buch,libro,libro,книга
sent,expédié,geschickt,enviado,inviato,послал
white,blanc,Weiß,blanco,bianca,белый
hour,heure,Stunde,hora,ora,час
anybody,n'importe qui,irgendjemand,cualquiera,nessuno,кто-нибудь
small,petit,klein,pequeño,piccolo,маленький
perfect,parfait,perfekt,Perfecto,Perfetto,идеально
cause,cause,Ursache,causa,causa,причина
lives,des vies,Leben,vidas,vite,жизни
special,spécial,Besondere,especial,speciale,специальный
parents,parents,Eltern,padres,genitori,родители
s,s,s,s,S,s
john,John,John,John,John,Джон
himself,lui-même,selbst,él mismo,lui stesso,сам
perhaps,peut-être,vielleicht,quizás,Forse,возможно
sounds,des sons,Geräusche,sonidos,suoni,звуки
serious,sérieuse,ernst,grave,grave,серьезный
sick,malade,krank,enfermo,malato,больной
company,compagnie,Unternehmen,empresa,azienda,Компания
ha,Ha,Ha,decir ah,ah,ха
scared,effrayé,erschrocken,asustado,impaurito,напугана
uncle,oncle,Onkel,tío,zio,дядя
poor,pauvre,Arm,pobre,povero,бедные
red,rouge,rot,rojo,rosso,красный
past,passé,Vergangenheit,pasado,passato,прошлый
earth,la terre,Erde,tierra,terra,земной шар
possible,possible,möglich,posible,possibile,возможный
shoot,tirer,schießen,disparo,sparare,стрелять
touch,toucher,berühren,tocar,toccare,трогать
sound,sonner,Klang,sonido,suono,звук
top,Haut,oben,cima,superiore,верх
ass,cul,Arsch,culo,culo,жопа
laughs,des rires,lacht,risas,ride,смеется
cannot,ne peux pas,kann nicht,no puedo,non può,не можешь
asking,demander,fragen,preguntando,chiede,просить
win,gagner,Sieg,victoria,vincere,победить
glad,heureux,froh,contento,lieto,радостный
control,contrôler,Steuerung,control,controllo,контроль
hmm,Hmm,hmm,mmm,hmm,Хм
human,Humain,Mensch,humano,umano,человек
drive,conduire,Fahrt,manejar,guidare,водить машину
hair,Cheveu,Haar,pelo,capelli,волосы
jack,jack,Jack,Jacobo,Jack,Джек
bitch,chienne,Hündin,perra,cagna,сука
luck,la chance,Glück,suerte,fortuna,удача
murder,meurtre,Mord,asesinato,omicidio,убийство
happens,arrive,das passiert,sucede,succede,происходит
air,air,Luft,aire,aria,воздуха
ten,Dix,zehn,diez,dieci,десять
daddy,papa,Vati,papi,papà,папочка
finally,finalement,endlich,finalmente,infine,наконец-то
chuckles,gloussements,kichert,risas,ridacchia,посмеивается
fast,vite,schnell,rápido,veloce,быстрый
cold,froid,kalt,frío,freddo,холодный
seem,sembler,scheinen,parecer,sembrare,казаться
laughing,en riant,Lachen,risa,ridendo,смеющийся
words,mots,Wörter,palabras,parole,слова
hospital,hôpital,Krankenhaus,hospital,Ospedale,больница
